cruise,cast,niskin,niskin_other_method,date_time_utc_sampling,date_time_utc_start,date_time_utc_end,latitude,longitude,depth,duration_incubation,dilution,mu0_HL,mu0_std_HL,g_HL,g_std_HL,kNoN_HL,kNoN_std_HL,muN_HL,muN_std_HL,mu0_LL,mu0_std_LL,g_LL,g_std_LL,kNoN_LL,kNoN_std_LL,muN_LL,muN_std_LL,T3kNoN_LL
en617,1',13-14-15',NA,2018-07-20 17:39:19+00:00,2018-07-20 18:54:00+00:00,2018-07-21 19:00:00+00:00,0,0,0,1.00416666665114,0.211436950146628,NaN,NaN,0,0,NaN,NaN,1.59960455755052,0.181435188206591,NaN,NaN,0.408273672413575,0.0935945999954352,NaN,NaN,0,0,0
en617,14',20-21-22-23-24',NA,2018-07-22 09:27:03+00:00,2018-07-22 10:30:00+00:00,2018-07-23 10:30:00+00:00,0,0,0,1,0.255526657997399,NaN,NaN,-1.56586787539044,0.186208371703814,NaN,NaN,1.20305209704296,0.25290080148147,NaN,NaN,-1.14195319444268,0.100785130200543,NaN,NaN,0.880433108331948,0.0562360310300948,0
en617,18',19-20',NA,2018-07-22 22:08:59+00:00,2018-07-22 22:30:00+00:00,2018-07-23 22:39:00+00:00,0,0,0,1.00624999997672,0.244855967078189,NaN,NaN,0,0,NaN,NaN,0.690032283111423,0.480559603977675,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
en617,21',14-15',NA,2018-07-23 13:58:31+00:00,2018-07-23 16:00:00+00:00,2018-07-24 16:14:00+00:00,0,0,0,1.00972222222481,0.364759725400458,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0.0459189821553737,0.103512906379604,0
en617,21',17-18',NA,2018-07-23 14:00:59+00:00,2018-07-23 16:00:00+00:00,2018-07-24 16:14:00+00:00,0,0,0,1.00972222222481,0.489849955869373,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.420527198062639,0.0942713427437008,NaN,NaN,0.322783689125927,0.0895310065700687,0
en617,21',19-21-23-24',NA,2018-07-23 14:04:33+00:00,2018-07-23 16:00:00+00:00,2018-07-24 16:14:00+00:00,0,0,0,1.00972222222481,0.283687943262412,NaN,NaN,0,0,NaN,NaN,0.214641775606012,0.0517947329544865,NaN,NaN,0,0,NaN,NaN,0.273431745523648,0.130605794208385,0
en617,5',17-18-19-20',NA,2018-07-21 07:04:37+00:00,2018-07-21 08:10:00+00:00,2018-07-22 08:00:00+00:00,0,0,0,0.993055555620231,0.248876909254268,NaN,NaN,0,0,NaN,NaN,1.19374455031746,0.0783131061122278,NaN,NaN,0,0,NaN,NaN,1.35134422482446,0.218533190308033,0
en617,8',17-18-19-20',NA,2018-07-21 15:13:46+00:00,2018-07-21 16:00:00+00:00,2018-07-22 17:00:00+00:00,0,0,0,1.04166666674428,0.183189655172414,NaN,NaN,-1.59977479967293,0.157793028039843,NaN,NaN,1.50530434095063,0.143539326241967,NaN,NaN,-0.594332823041875,0.135785291349221,NaN,NaN,1.0982314019906,0.0598226002354258,0
