cruise,cast,niskin,niskin_other_method,date_time_utc_sampling,date_time_utc_start,date_time_utc_end,latitude,longitude,depth,T0_TF,dilution,nutrient_treatment,light_level,replicate_bottle,replicate_chl,filter_size,vol_filtered,vol_extracted,Fs,r,fo,fa,blank,blank_acid,fo_blank,fa_blank,fo_fa,chl,phaeo,iode_quality_flag,nearest_station,distance
ar66,1',10-11-12-13',NA,NaN,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,NaN,NaN,NaN,T0,dil,NA,NA,NA,a,>0&<200,152,6,0.864,2.136,12.3,7.78,1.012,1.04,11.288,6.74,1.67477744807122,0.291651878428466,0.199349317361008,1,NaN,NaN
ar66,1',10-11-12-13',NA,NaN,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,NaN,NaN,NaN,T0,dil,NA,NA,NA,b,>0&<200,152,6,0.864,2.136,13.2,8.43,1.012,1.04,12.188,7.39,1.64925575101488,0.307683753891772,0.230669189266123,1,NaN,NaN
ar66,1',10-11-12-13',NA,NaN,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,NaN,NaN,NaN,T0,dil,NA,NA,NA,c,>0&<200,152,6,0.864,2.136,12,7.62,1.012,1.04,10.988,6.58,1.66990881458967,0.282674028169014,0.196671352883618,1,NaN,NaN
ar66,1',10-11-12-13',NA,NaN,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,NaN,NaN,NaN,T0,dil,NA,NA,NA,a,>10&<200,152,6,0.864,2.136,4.22,2.82,1.012,1.04,3.208,1.78,1.80224719101124,0.0915740726464047,0.0380968663009637,1,NaN,NaN
ar66,1',10-11-12-13',NA,NaN,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,NaN,NaN,NaN,T0,dil,NA,NA,NA,b,>10&<200,152,6,0.864,2.136,6.53,4.12,1.012,1.04,5.518,3.08,1.79155844155844,0.156342849518162,0.0680315841660489,1,NaN,NaN
ar66,1',10-11-12-13',NA,NaN,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,NaN,NaN,NaN,T0,dil,NA,NA,NA,c,>10&<200,152,6,0.864,2.136,6.21,3.94,1.012,1.04,5.198,2.9,1.79241379310345,0.14736499925871,0.063896642846553,1,NaN,NaN
ar66,1',10-11-12-13',NA,NaN,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,NaN,NaN,NaN,T0,wsw,NA,NA,NA,a,>0&<200,152,6,0.864,2.136,62.5,36.7,1.012,1.04,61.488,35.66,1.72428491306786,1.65628511786509,0.9415045916086,1,NaN,NaN
ar66,1',10-11-12-13',NA,NaN,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,NaN,NaN,NaN,T0,wsw,NA,NA,NA,b,>0&<200,152,6,0.864,2.136,60.3,37.4,1.012,1.04,59.288,36.36,1.63058305830583,1.47031536249073,1.17846853645664,3,NaN,NaN
ar66,1',10-11-12-13',NA,NaN,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,NaN,NaN,NaN,T0,wsw,NA,NA,NA,c,>0&<200,152,6,0.864,2.136,61.8,36.4,1.012,1.04,60.788,35.36,1.71911764705882,1.6306341171238,0.94530093971831,1,NaN,NaN
ar66,1',10-11-12-13',NA,NaN,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,NaN,NaN,NaN,T0,wsw,NA,NA,NA,a,>10&<200,152,6,0.864,2.136,30.1,17.3,1.012,1.04,29.088,16.26,1.78892988929889,0.822627593773165,0.361894578858414,1,NaN,NaN
ar66,1',10-11-12-13',NA,NaN,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,NaN,NaN,NaN,T0,wsw,NA,NA,NA,b,>10&<200,152,6,0.864,2.136,32.4,18.2,1.012,1.04,31.388,17.16,1.82913752913753,0.91240609636768,0.337680034158637,1,NaN,NaN
ar66,1',10-11-12-13',NA,NaN,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,NaN,NaN,NaN,T0,wsw,NA,NA,NA,c,>10&<200,152,6,0.864,2.136,17,9.82,1.012,1.04,15.988,8.78,1.82095671981777,0.462231033358043,0.177381800326168,1,NaN,NaN
ar66,1',10-11-12-13',NA,NaN,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,NaN,NaN,NaN,TF,dil,N,65%,a,a,>0&<200,152,6,0.864,2.136,12.3,7.54,0.985,1.015,11.315,6.525,1.73409961685824,0.307170733876946,0.168167960859896,1,NaN,NaN
ar66,1',10-11-12-13',NA,NaN,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,NaN,NaN,NaN,TF,dil,N,65%,a,b,>0&<200,152,6,0.864,2.136,12.5,7.62,0.985,1.015,11.515,6.605,1.74337623012869,0.314866034099333,0.16630056800593,1,NaN,NaN
ar66,1',10-11-12-13',NA,NaN,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,NaN,NaN,NaN,TF,dil,N,65%,a,c,>0&<200,152,6,0.864,2.136,17.2,10.1,0.985,1.015,16.215,9.085,1.78481012658228,0.457229088213492,0.204602642312824,3,NaN,NaN
ar66,1',10-11-12-13',NA,NaN,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,NaN,NaN,NaN,TF,dil,N,65%,b,a,>0&<200,152,6,0.864,2.136,12.2,7.61,0.985,1.015,11.215,6.595,1.70053070507961,0.296269058561898,0.184169055122313,1,NaN,NaN
ar66,1',10-11-12-13',NA,NaN,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,NaN,NaN,NaN,TF,dil,N,65%,b,b,>0&<200,152,6,0.864,2.136,13,7.64,0.985,1.015,12.015,6.625,1.81358490566038,0.345647234988881,0.136976343958488,1,NaN,NaN
ar66,1',10-11-12-13',NA,NaN,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,NaN,NaN,NaN,TF,dil,N,65%,b,c,>0&<200,152,6,0.864,2.136,15.3,9.05,0.985,1.015,14.315,8.035,1.78158058494088,0.402720711638251,0.182619734677539,1,NaN,NaN
ar66,1',10-11-12-13',NA,NaN,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,NaN,NaN,NaN,TF,dil,N,65%,c,a,>0&<200,152,6,0.864,2.136,12.8,7.91,0.985,1.015,11.815,6.895,1.713560551124,0.315507309117865,0.186785457197924,1,NaN,NaN
ar66,1',10-11-12-13',NA,NaN,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,NaN,NaN,NaN,TF,dil,N,65%,c,b,>0&<200,152,6,0.864,2.136,13.7,8.15,0.985,1.015,12.715,7.135,1.78206026629292,0.357831460340993,0.161945028080059,1,NaN,NaN
ar66,1',10-11-12-13',NA,NaN,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,NaN,NaN,NaN,TF,dil,N,65%,c,c,>0&<200,152,6,0.864,2.136,14.7,8.65,0.985,1.015,13.715,7.635,1.79633267845449,0.389895211267606,0.166305698206079,1,NaN,NaN
ar66,1',10-11-12-13',NA,NaN,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,NaN,NaN,NaN,TF,wsw,NoN,65%,a,a,>0&<200,152,6,0.864,2.136,55.2,32,0.985,1.015,54.215,30.985,1.74971760529288,1.48968186805041,0.767539504581171,1,NaN,NaN
ar66,1',10-11-12-13',NA,NaN,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,NaN,NaN,NaN,TF,wsw,NoN,65%,a,b,>0&<200,152,6,0.864,2.136,51.8,30.3,0.985,1.015,50.815,29.285,1.73518866313813,1.38066511489993,0.752713226152706,1,NaN,NaN
ar66,1',10-11-12-13',NA,NaN,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,NaN,NaN,NaN,TF,wsw,NoN,65%,a,c,>0&<200,152,6,0.864,2.136,54,31.6,0.985,1.015,53.015,30.585,1.73336602909923,1.43837986656783,0.789701969221646,1,NaN,NaN
ar66,1',10-11-12-13',NA,NaN,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,NaN,NaN,NaN,TF,wsw,NoN,65%,b,a,>0&<200,152,6,0.864,2.136,52.7,30.5,0.985,1.015,51.715,29.485,1.75394268272003,1.42555436619718,0.722393743276501,1,NaN,NaN
ar66,1',10-11-12-13',NA,NaN,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,NaN,NaN,NaN,TF,wsw,NoN,65%,b,b,>0&<200,152,6,0.864,2.136,50,28.8,0.985,1.015,49.015,27.785,1.7640813388519,1.36142686434396,0.662678213550779,1,NaN,NaN
ar66,1',10-11-12-13',NA,NaN,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,NaN,NaN,NaN,TF,wsw,NoN,65%,b,c,>0&<200,152,6,0.864,2.136,56.8,32.2,0.985,1.015,55.815,31.185,1.78980278980279,1.57946037064492,0.69233077040771,1,NaN,NaN
ar66,1',10-11-12-13',NA,NaN,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,NaN,NaN,NaN,TF,wsw,N,65%,a,a,>0&<200,152,6,0.864,2.136,55,31.1,0.985,1.015,54.015,30.085,1.79541299650989,1.53457111934766,0.657086295389177,1,NaN,NaN
ar66,1',10-11-12-13',NA,NaN,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,NaN,NaN,NaN,TF,wsw,N,65%,a,b,>0&<200,152,6,0.864,2.136,51.6,29.4,0.985,1.015,50.615,28.385,1.78316011978157,1.42555436619718,0.642260016960711,1,NaN,NaN
ar66,1',10-11-12-13',NA,NaN,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,NaN,NaN,NaN,TF,wsw,N,65%,a,c,>0&<200,152,6,0.864,2.136,52.7,29.8,0.985,1.015,51.715,28.785,1.79659544901859,1.47044361749444,0.62651030250556,1,NaN,NaN
ar66,1',10-11-12-13',NA,NaN,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,NaN,NaN,NaN,TF,wsw,N,65%,b,a,>0&<200,152,6,0.864,2.136,53.8,31.4,0.985,1.015,52.815,30.385,1.73819318742801,1.43837986656783,0.775132200800593,1,NaN,NaN
ar66,1',10-11-12-13',NA,NaN,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,NaN,NaN,NaN,TF,wsw,N,65%,b,b,>0&<200,152,6,0.864,2.136,51.2,30.7,0.985,1.015,50.215,29.685,1.69159508169109,1.3165376130467,0.845980264848035,1,NaN,NaN
ar66,1',10-11-12-13',NA,NaN,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,NaN,NaN,NaN,TF,wsw,N,65%,b,c,>0&<200,152,6,0.864,2.136,55.9,33.1,0.985,1.015,54.915,32.085,1.71154745208041,1.46403086730912,0.873324231638251,1,NaN,NaN
ar66,1',10-11-12-13',NA,NaN,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,NaN,NaN,NaN,TF,wsw,N,65%,c,a,>0&<200,152,6,0.864,2.136,49.3,27.9,0.985,1.015,48.315,26.885,1.79709875395202,1.3742523647146,0.584288755285397,1,NaN,NaN
ar66,1',10-11-12-13',NA,NaN,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,NaN,NaN,NaN,TF,wsw,N,65%,c,b,>0&<200,152,6,0.864,2.136,48,28.5,0.985,1.015,47.015,27.485,1.71056940149172,1.25241011119348,0.749840314069681,1,NaN,NaN
ar66,1',10-11-12-13',NA,NaN,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,NaN,NaN,NaN,TF,wsw,N,65%,c,c,>0&<200,152,6,0.864,2.136,50,28.7,0.985,1.015,49.015,27.685,1.77045331406899,1.36783961452928,0.648980579154929,1,NaN,NaN
ar66,1',10-11-12-13',NA,NaN,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,NaN,NaN,NaN,TF,dil,N,65%,a,a,>10&<200,152,6,0.864,2.136,8.33,4.84,0.985,1.015,7.345,3.825,1.9202614379085,0.225728806523351,0.052918014529281,1,NaN,NaN
ar66,1',10-11-12-13',NA,NaN,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,NaN,NaN,NaN,TF,dil,N,65%,a,b,>10&<200,152,6,0.864,2.136,7.38,4.18,0.985,1.015,6.395,3.165,2.02053712480253,0.207131830985915,0.0234347542772425,1,NaN,NaN
ar66,1',10-11-12-13',NA,NaN,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,NaN,NaN,NaN,TF,dil,N,65%,a,c,>10&<200,152,6,0.864,2.136,8.17,4.61,0.985,1.015,7.185,3.595,1.99860917941585,0.230217731653076,0.0316738557153448,1,NaN,NaN
ar66,1',10-11-12-13',NA,NaN,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,NaN,NaN,NaN,TF,dil,N,65%,b,a,>10&<200,152,6,0.864,2.136,8.23,4.73,0.985,1.015,7.245,3.715,1.95020188425303,0.226370081541883,0.0442633668791699,1,NaN,NaN
ar66,1',10-11-12-13',NA,NaN,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,NaN,NaN,NaN,TF,dil,N,65%,b,b,>10&<200,152,6,0.864,2.136,7.13,4.37,0.985,1.015,6.145,3.355,1.83159463487332,0.178915730170497,0.0654921350926613,3,NaN,NaN
ar66,1',10-11-12-13',NA,NaN,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,NaN,NaN,NaN,TF,dil,N,65%,b,c,>10&<200,152,6,0.864,2.136,9.28,5.29,0.985,1.015,8.295,4.275,1.94035087719298,0.257792557449963,0.0536362425500371,1,NaN,NaN
ar66,1',10-11-12-13',NA,NaN,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,NaN,NaN,NaN,TF,dil,N,65%,c,a,>10&<200,152,6,0.864,2.136,9.82,5.61,0.985,1.015,8.835,4.595,1.92274211099021,0.271900607857672,0.062839821616012,3,NaN,NaN
ar66,1',10-11-12-13',NA,NaN,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,NaN,NaN,NaN,TF,dil,N,65%,c,b,>10&<200,152,6,0.864,2.136,7.04,4.07,0.985,1.015,6.055,3.055,1.98199672667758,0.192382505559674,0.0301707070719052,1,NaN,NaN
ar66,1',10-11-12-13',NA,NaN,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,NaN,NaN,NaN,TF,dil,N,65%,c,c,>10&<200,152,6,0.864,2.136,7.42,4.26,0.985,1.015,6.435,3.245,1.98305084745763,0.204566730911786,0.0318277617197925,1,NaN,NaN
ar66,1',10-11-12-13',NA,NaN,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,NaN,NaN,NaN,TF,wsw,NoN,65%,a,a,>10&<200,152,6,0.864,2.136,28.4,14.9,0.985,1.015,27.415,13.885,1.97443284119553,0.867645100074129,0.14386107255745,1,NaN,NaN
ar66,1',10-11-12-13',NA,NaN,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,NaN,NaN,NaN,TF,wsw,NoN,65%,a,b,>10&<200,152,6,0.864,2.136,28.6,15,0.985,1.015,27.615,13.985,1.97461565963532,0.874057850259451,0.144733206582654,1,NaN,NaN
ar66,1',10-11-12-13',NA,NaN,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,NaN,NaN,NaN,TF,wsw,NoN,65%,a,c,>10&<200,152,6,0.864,2.136,27.8,14.8,0.985,1.015,26.815,13.785,1.94523032281465,0.835581349147517,0.168639939273536,1,NaN,NaN
ar66,1',10-11-12-13',NA,NaN,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,NaN,NaN,NaN,TF,wsw,NoN,65%,b,a,>10&<200,152,6,0.864,2.136,28.1,15,0.985,1.015,27.115,13.985,1.9388630675724,0.841994099332839,0.176796957509266,1,NaN,NaN
ar66,1',10-11-12-13',NA,NaN,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,NaN,NaN,NaN,TF,wsw,NoN,65%,b,b,>10&<200,152,6,0.864,2.136,26.1,13.7,0.985,1.015,25.115,12.685,1.97989751675207,0.797104848035582,0.126982714069681,1,NaN,NaN
ar66,1',10-11-12-13',NA,NaN,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,NaN,NaN,NaN,TF,wsw,NoN,65%,b,c,>10&<200,152,6,0.864,2.136,26.6,14.1,0.985,1.015,25.615,13.085,1.95758502101643,0.803517598220905,0.149709500726464,1,NaN,NaN
ar66,1',10-11-12-13',NA,NaN,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,NaN,NaN,NaN,TF,wsw,N,65%,a,a,>10&<200,152,6,0.864,2.136,27.9,14.6,0.985,1.015,26.915,13.585,1.98122929701877,0.854819599703484,0.134831920296516,1,NaN,NaN
ar66,1',10-11-12-13',NA,NaN,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,NaN,NaN,NaN,TF,wsw,N,65%,a,b,>10&<200,152,6,0.864,2.136,26.3,13.8,0.985,1.015,25.315,12.785,1.9800547516621,0.803517598220904,0.127854848094885,1,NaN,NaN
ar66,1',10-11-12-13',NA,NaN,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,NaN,NaN,NaN,TF,wsw,N,65%,a,c,>10&<200,152,6,0.864,2.136,24.7,13.1,0.985,1.015,23.715,12.085,1.9623500206868,0.745802846553002,0.134575410289103,1,NaN,NaN
ar66,1',10-11-12-13',NA,NaN,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,NaN,NaN,NaN,TF,wsw,N,65%,b,a,>10&<200,152,6,0.864,2.136,29.8,16.3,0.985,1.015,28.815,15.285,1.88518155053974,0.867645100074129,0.245849451504819,1,NaN,NaN
ar66,1',10-11-12-13',NA,NaN,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,NaN,NaN,NaN,TF,wsw,N,65%,b,b,>10&<200,152,6,0.864,2.136,24.9,13.2,0.985,1.015,23.915,12.185,1.96265900697579,0.752215596738325,0.135447544314307,1,NaN,NaN
ar66,1',10-11-12-13',NA,NaN,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,NaN,NaN,NaN,TF,wsw,N,65%,b,c,>10&<200,152,6,0.864,2.136,27.6,14.4,0.985,1.015,26.615,13.385,1.98841987299216,0.848406849518162,0.126674902060786,1,NaN,NaN
ar66,1',10-11-12-13',NA,NaN,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,NaN,NaN,NaN,TF,wsw,N,65%,c,a,>10&<200,152,6,0.864,2.136,23.1,12.9,0.985,1.015,22.115,11.885,1.86074884307951,0.656024343958488,0.209784144462565,1,NaN,NaN
ar66,1',10-11-12-13',NA,NaN,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,NaN,NaN,NaN,TF,wsw,N,65%,c,b,>10&<200,152,6,0.864,2.136,26.9,14.1,0.985,1.015,25.915,13.085,1.98051203668323,0.822755848776872,0.130471250170497,1,NaN,NaN
ar66,1',10-11-12-13',NA,NaN,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,NaN,NaN,NaN,TF,wsw,N,65%,c,c,>10&<200,152,6,0.864,2.136,25.5,13.4,0.985,1.015,24.515,12.385,1.97941057731126,0.777866597479615,0.12436631199407,1,NaN,NaN
ar66,3',14-15-16',NA,NaN,2022-04-21 01:20:00+00:00,2022-04-22 01:30:00+00:00,NaN,NaN,NaN,T0,dil,NA,NA,NA,a,>0&<200,152,6,0.864,2.136,23.9,13.8,1.03,1.04,22.87,12.76,1.7923197492163,0.6483290437361,0.281222181527057,1,NaN,NaN
ar66,3',14-15-16',NA,NaN,2022-04-21 01:20:00+00:00,2022-04-22 01:30:00+00:00,NaN,NaN,NaN,T0,dil,NA,NA,NA,b,>0&<200,152,6,0.864,2.136,20.5,13.1,1.03,1.04,19.47,12.06,1.61442786069652,0.475184788732394,0.403372247057079,3,NaN,NaN
ar66,3',14-15-16',NA,NaN,2022-04-21 01:20:00+00:00,2022-04-22 01:30:00+00:00,NaN,NaN,NaN,T0,dil,NA,NA,NA,c,>0&<200,152,6,0.864,2.136,22.3,13.3,1.03,1.04,21.27,12.26,1.73491027732463,0.577788791697554,0.315338012512973,1,NaN,NaN
ar66,3',14-15-16',NA,NaN,2022-04-21 01:20:00+00:00,2022-04-22 01:30:00+00:00,NaN,NaN,NaN,T0,dil,NA,NA,NA,a,>10&<200,152,6,0.864,2.136,7.5,4.27,1.03,1.04,6.47,3.23,2.0030959752322,0.207773106004448,0.0275286539955522,1,NaN,NaN
ar66,3',14-15-16',NA,NaN,2022-04-21 01:20:00+00:00,2022-04-22 01:30:00+00:00,NaN,NaN,NaN,T0,dil,NA,NA,NA,b,>10&<200,152,6,0.864,2.136,5.02,3.01,1.03,1.04,3.99,1.97,2.0253807106599,0.129537553743514,0.0139746652038547,1,NaN,NaN
ar66,3',14-15-16',NA,NaN,2022-04-21 01:20:00+00:00,2022-04-22 01:30:00+00:00,NaN,NaN,NaN,T0,dil,NA,NA,NA,c,>10&<200,152,6,0.864,2.136,4.9,2.97,1.03,1.04,3.87,1.93,2.00518134715026,0.124407353595256,0.0161909116679022,1,NaN,NaN
ar66,3',14-15-16',NA,NaN,2022-04-21 01:20:00+00:00,2022-04-22 01:30:00+00:00,NaN,NaN,NaN,T0,wsw,NA,NA,NA,a,>0&<200,152,6,0.864,2.136,70.2,39,1.03,1.04,69.17,37.96,1.82218124341412,2.00141933283914,0.763922713476649,1,NaN,NaN
ar66,3',14-15-16',NA,NaN,2022-04-21 01:20:00+00:00,2022-04-22 01:30:00+00:00,NaN,NaN,NaN,T0,wsw,NA,NA,NA,b,>0&<200,152,6,0.864,2.136,67.6,37.5,1.03,1.04,66.57,36.46,1.82583653318705,1.93087908080059,0.725189702357303,1,NaN,NaN
ar66,3',14-15-16',NA,NaN,2022-04-21 01:20:00+00:00,2022-04-22 01:30:00+00:00,NaN,NaN,NaN,T0,wsw,NA,NA,NA,c,>0&<200,152,6,0.864,2.136,67.6,38.1,1.03,1.04,66.57,37.06,1.79627630868861,1.89240257968866,0.807375508732395,1,NaN,NaN
ar66,3',14-15-16',NA,NaN,2022-04-21 01:20:00+00:00,2022-04-22 01:30:00+00:00,NaN,NaN,NaN,T0,wsw,NA,NA,NA,a,>10&<200,152,6,0.864,2.136,18.9,9.95,1.03,1.04,17.87,8.91,2.00561167227834,0.574582416604892,0.0745007665530025,1,NaN,NaN
ar66,3',14-15-16',NA,NaN,2022-04-21 01:20:00+00:00,2022-04-22 01:30:00+00:00,NaN,NaN,NaN,T0,wsw,NA,NA,NA,b,>10&<200,152,6,0.864,2.136,16.9,8.88,1.03,1.04,15.87,7.84,2.02423469387755,0.514943839881393,0.0561910822238698,1,NaN,NaN
ar66,3',14-15-16',NA,NaN,2022-04-21 01:20:00+00:00,2022-04-22 01:30:00+00:00,NaN,NaN,NaN,T0,wsw,NA,NA,NA,c,>10&<200,152,6,0.864,2.136,19.8,10.2,1.03,1.04,18.77,9.16,2.04912663755458,0.616265292809488,0.0510301008747221,1,NaN,NaN
ar66,3',14-15-16',NA,NaN,2022-04-21 01:20:00+00:00,2022-04-22 01:30:00+00:00,NaN,NaN,NaN,TF,dil,N,65%,a,a,>0&<200,152,6,0.864,2.136,13.2,7.5,1.005,1.02,12.195,6.48,1.88194444444444,0.366488673091179,0.105571823750927,1,NaN,NaN
ar66,3',14-15-16',NA,NaN,2022-04-21 01:20:00+00:00,2022-04-22 01:30:00+00:00,NaN,NaN,NaN,TF,dil,N,65%,a,b,>0&<200,152,6,0.864,2.136,12.8,8.14,1.005,1.02,11.795,7.12,1.65660112359551,0.299796071163825,0.218887684625649,1,NaN,NaN
ar66,3',14-15-16',NA,NaN,2022-04-21 01:20:00+00:00,2022-04-22 01:30:00+00:00,NaN,NaN,NaN,TF,dil,N,65%,a,c,>0&<200,152,6,0.864,2.136,15.3,9.8,1.005,1.02,14.295,8.78,1.62813211845103,0.353663172720534,0.285949660963677,3,NaN,NaN
ar66,3',14-15-16',NA,NaN,2022-04-21 01:20:00+00:00,2022-04-22 01:30:00+00:00,NaN,NaN,NaN,TF,dil,N,65%,b,a,>0&<200,152,6,0.864,2.136,16,9.14,1.005,1.02,14.995,8.12,1.84667487684729,0.440876575240919,0.150656022653818,1,NaN,NaN
ar66,3',14-15-16',NA,NaN,2022-04-21 01:20:00+00:00,2022-04-22 01:30:00+00:00,NaN,NaN,NaN,TF,dil,N,65%,b,b,>0&<200,152,6,0.864,2.136,14.4,8.36,1.005,1.02,13.395,7.34,1.82493188010899,0.388292023721275,0.146418477331357,1,NaN,NaN
ar66,3',14-15-16',NA,NaN,2022-04-21 01:20:00+00:00,2022-04-22 01:30:00+00:00,NaN,NaN,NaN,TF,dil,N,65%,b,c,>0&<200,152,6,0.864,2.136,15.1,8.74,1.005,1.02,14.095,7.72,1.82577720207254,0.408812824314307,0.153580236738325,1,NaN,NaN
ar66,3',14-15-16',NA,NaN,2022-04-21 01:20:00+00:00,2022-04-22 01:30:00+00:00,NaN,NaN,NaN,TF,dil,N,65%,c,a,>0&<200,152,6,0.864,2.136,15.6,9.55,1.005,1.02,14.595,8.53,1.71101992966002,0.388933298739807,0.232467324418088,1,NaN,NaN
ar66,3',14-15-16',NA,NaN,2022-04-21 01:20:00+00:00,2022-04-22 01:30:00+00:00,NaN,NaN,NaN,TF,dil,N,65%,c,b,>0&<200,152,6,0.864,2.136,12,7.46,1.005,1.02,10.995,6.44,1.70729813664596,0.292100770941438,0.177045772216457,3,NaN,NaN
ar66,3',14-15-16',NA,NaN,2022-04-21 01:20:00+00:00,2022-04-22 01:30:00+00:00,NaN,NaN,NaN,TF,dil,N,65%,c,c,>0&<200,152,6,0.864,2.136,14,8.22,1.005,1.02,12.995,7.2,1.80486111111111,0.371618873239437,0.152892789918458,1,NaN,NaN
ar66,3',14-15-16',NA,NaN,2022-04-21 01:20:00+00:00,2022-04-22 01:30:00+00:00,NaN,NaN,NaN,TF,wsw,NoN,65%,a,a,>0&<200,152,6,0.864,2.136,52.1,29.2,1.005,1.02,51.095,28.18,1.81316536550745,1.46948170496664,0.583398665559674,1,NaN,NaN
ar66,3',14-15-16',NA,NaN,2022-04-21 01:20:00+00:00,2022-04-22 01:30:00+00:00,NaN,NaN,NaN,TF,wsw,NoN,65%,a,b,>0&<200,152,6,0.864,2.136,50.2,28.5,1.005,1.02,49.195,27.48,1.79021106259098,1.39252870274277,0.60935747830986,1,NaN,NaN
ar66,3',14-15-16',NA,NaN,2022-04-21 01:20:00+00:00,2022-04-22 01:30:00+00:00,NaN,NaN,NaN,TF,wsw,NoN,65%,a,c,>0&<200,152,6,0.864,2.136,51.4,28.4,1.005,1.02,50.395,27.38,1.84057706355004,1.47589445515196,0.518706841690141,1,NaN,NaN
ar66,3',14-15-16',NA,NaN,2022-04-21 01:20:00+00:00,2022-04-22 01:30:00+00:00,NaN,NaN,NaN,TF,wsw,NoN,65%,b,a,>0&<200,152,6,0.864,2.136,47.6,27.7,1.005,1.02,46.595,26.68,1.74643928035982,1.27709919940697,0.666507907961453,1,NaN,NaN
ar66,3',14-15-16',NA,NaN,2022-04-21 01:20:00+00:00,2022-04-22 01:30:00+00:00,NaN,NaN,NaN,TF,wsw,NoN,65%,b,b,>0&<200,152,6,0.864,2.136,49.4,27.3,1.005,1.02,48.395,26.28,1.84151445966514,1.41817970348406,0.496287867042254,1,NaN,NaN
ar66,3',14-15-16',NA,NaN,2022-04-21 01:20:00+00:00,2022-04-22 01:30:00+00:00,NaN,NaN,NaN,TF,wsw,NoN,65%,b,c,>0&<200,152,6,0.864,2.136,47.4,26.5,1.005,1.02,46.395,25.48,1.8208398744113,1.34122670126019,0.514961795581913,1,NaN,NaN
